anio,clave_ent,entidad,tipo_de_delito,nombre_mes,fecha,frecuencia
2015,1,Aguascalientes,Aborto,abril,2015-04-01,0.0
2015,1,Aguascalientes,Aborto,agosto,2015-08-01,0.0
2015,1,Aguascalientes,Aborto,diciembre,2015-12-01,0.0
2015,1,Aguascalientes,Aborto,enero,2015-01-01,0.0
2015,1,Aguascalientes,Aborto,febrero,2015-02-01,3.0
2015,1,Aguascalientes,Aborto,julio,2015-07-01,0.0
2015,1,Aguascalientes,Aborto,junio,2015-06-01,0.0
2015,1,Aguascalientes,Aborto,marzo,2015-03-01,1.0
2015,1,Aguascalientes,Aborto,mayo,2015-05-01,0.0
2015,1,Aguascalientes,Aborto,noviembre,2015-11-01,1.0
2015,1,Aguascalientes,Aborto,octubre,2015-10-01,0.0
2015,1,Aguascalientes,Aborto,septiembre,2015-09-01,0.0
2015,1,Aguascalientes,Abuso de confianza,abril,2015-04-01,22.0
2015,1,Aguascalientes,Abuso de confianza,agosto,2015-08-01,40.0
2015,1,Aguascalientes,Abuso de confianza,diciembre,2015-12-01,26.0
2015,1,Aguascalientes,Abuso de confianza,enero,2015-01-01,41.0
2015,1,Aguascalientes,Abuso de confianza,febrero,2015-02-01,33.0
2015,1,Aguascalientes,Abuso de confianza,julio,2015-07-01,30.0
2015,1,Aguascalientes,Abuso de confianza,junio,2015-06-01,43.0
2015,1,Aguascalientes,Abuso de confianza,marzo,2015-03-01,31.0
2015,1,Aguascalientes,Abuso de confianza,mayo,2015-05-01,36.0
2015,1,Aguascalientes,Abuso de confianza,noviembre,2015-11-01,43.0
2015,1,Aguascalientes,Abuso de confianza,octubre,2015-10-01,34.0
2015,1,Aguascalientes,Abuso de confianza,septiembre,2015-09-01,40.0
2015,1,Aguascalientes,Abuso sexual,abril,2015-04-01,2.0
2015,1,Aguascalientes,Abuso sexual,agosto,2015-08-01,1.0
2015,1,Aguascalientes,Abuso sexual,diciembre,2015-12-01,1.0
2015,1,Aguascalientes,Abuso sexual,enero,2015-01-01,6.0
2015,1,Aguascalientes,Abuso sexual,febrero,2015-02-01,4.0
2015,1,Aguascalientes,Abuso sexual,julio,2015-07-01,1.0
2015,1,Aguascalientes,Abuso sexual,junio,2015-06-01,1.0
2015,1,Aguascalientes,Abuso sexual,marzo,2015-03-01,0.0
2015,1,Aguascalientes,Abuso sexual,mayo,2015-05-01,1.0
2015,1,Aguascalientes,Abuso sexual,noviembre,2015-11-01,1.0
2015,1,Aguascalientes,Abuso sexual,octubre,2015-10-01,0.0
2015,1,Aguascalientes,Abuso sexual,septiembre,2015-09-01,0.0
2015,1,Aguascalientes,Acoso sexual,abril,2015-04-01,0.0
2015,1,Aguascalientes,Acoso sexual,agosto,2015-08-01,0.0
2015,1,Aguascalientes,Acoso sexual,diciembre,2015-12-01,0.0
