;Cve_Entidad;Entidad;Poblacion
0;1;Aguascalientes;1312544.0
1;2;Baja California;3315766.0
2;3;Baja California Sur;712029.0
3;4;Campeche;899931.0
4;5;Coahuila de Zaragoza;5217908.0
5;6;Colima;3556574.0
6;7;Chiapas;8918653.0
7;8;Chihuahua;2954915.0
8;9;Ciudad de México;711235.0
9;10;Durango;1754754.0
10;11;Guanajuato;5853677.0
11;12;Guerrero;3533251.0
12;13;Hidalgo;2858359.0
13;14;Jalisco;7844830.0
14;15;México;16187608.0
15;16;Michoacán de Ocampo;4584471.0
16;17;Morelos;1903811.0
17;18;Nayarit;1181050.0
18;19;Nuevo León;5119504.0
19;20;Oaxaca;3967889.0
20;21;Puebla;6168883.0
21;22;Querétaro;2038372.0
22;23;Quintana Roo;1501562.0
23;24;San Luis Potosí;2717820.0
24;25;Sinaloa;2966321.0
25;26;Sonora;2850330.0
26;27;Tabasco;2395272.0
27;28;Tamaulipas;3441698.0
28;29;Tlaxcala;1272847.0
29;30;Veracruz de Ignacio de la Llave;8112505.0
30;31;Yucatán;2097175.0
31;32;Zacatecas;1579209.0
